alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied
MAR-M* 200,1093.0,cast,ML_ONLY,SUCCESS,494.358132793604,,536.581541260254,325.0,9.58388156453502,,110.31616418637984,,8.11,55.2,MEDIUM,UNKNOWN,0
TRW-NASA VI A,21.0,cast,ML_ONLY,SUCCESS,901.4949052203153,940.0,1044.7691378349546,1050.0,10.283417737260239,4.0,155.09361701686345,,8.25,75.3,MEDIUM,UNKNOWN,0
TRW-NASA VI A,649.0,cast,ML_ONLY,SUCCESS,920.9993840046463,945.0,1046.348697045022,1140.0,9.59358659631686,4.0,130.2062086120415,,8.25,75.3,MEDIUM,UNKNOWN,0
TRW-NASA VI A,760.0,cast,ML_ONLY,SUCCESS,917.135317913166,945.0,1031.9885012829495,1095.0,9.279145701494198,4.5,126.27150384921897,,8.25,75.3,MEDIUM,UNKNOWN,0
TRW-NASA VI A,871.0,cast,ML_ONLY,SUCCESS,703.8040605698905,770.0,817.0139296135316,870.0,9.803644491957602,2.5,123.16875791279674,,8.25,75.3,MEDIUM,UNKNOWN,0
TRW-NASA VI A,982.0,cast,ML_ONLY,SUCCESS,482.93457618741996,520.0,547.8100708036721,595.0,11.807277025026732,,118.65903564244373,,8.25,75.3,MEDIUM,UNKNOWN,0
TRW-NASA VI A,1093.0,cast,ML_ONLY,SUCCESS,482.93457618741996,310.0,547.8100708036721,340.0,11.86768177462077,5.0,118.59489694894253,,8.25,75.3,MEDIUM,UNKNOWN,0
IN-738,21.0,cast,ML_ONLY,SUCCESS,937.1759117553044,950.0,1103.1079474947933,1095.0,8.01209643040431,,203.16886553028206,201.0,7.86,52.0,MEDIUM,UNKNOWN,0
IN-738,93.0,cast,ML_ONLY,SUCCESS,930.6431663939762,,1103.1703254244808,,7.987860943420055,,202.79181579908922,195.0,7.86,52.0,MEDIUM,UNKNOWN,0
IN-738,204.0,cast,ML_ONLY,SUCCESS,930.27404205362,,1103.1703254244808,,7.987860943420055,,199.00384371743309,190.0,7.86,52.0,MEDIUM,UNKNOWN,0
IN-738,316.0,cast,ML_ONLY,SUCCESS,928.2810801357917,,1102.4987430269039,,7.965825114124181,,192.86628810018675,185.0,7.86,52.0,MEDIUM,UNKNOWN,0
IN-738,427.0,cast,ML_ONLY,SUCCESS,927.8803610785826,,1102.4987430269039,,7.965825114124181,,186.92547730583152,179.0,7.86,52.0,MEDIUM,UNKNOWN,0
IN-738,538.0,cast,ML_ONLY,SUCCESS,896.066731928192,,1101.6461429292476,,7.6512184556427645,,176.60334315249602,175.0,7.86,52.0,MEDIUM,UNKNOWN,0
