alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied
INCONEL* 600,427.0,wrought,ML_ONLY,SUCCESS,409.63435337352337,,756.8329963105231,,32.65025889568733,,171.33424508840613,192.0,8.43,0.0,MEDIUM,UNKNOWN,0
INCONEL* 600,538.0,wrought,ML_ONLY,SUCCESS,359.5299425722174,220.0,706.3257026093512,560.0,32.265892860225904,41.0,161.48656570190724,184.0,8.43,0.0,MEDIUM,UNKNOWN,0
INCONEL* 600,649.0,wrought,ML_ONLY,SUCCESS,363.80686226769376,205.0,652.1156126784839,450.0,32.5271707020272,49.0,155.6114104422663,176.0,8.43,0.0,MEDIUM,UNKNOWN,0
INCONEL* 600,760.0,wrought,ML_ONLY,SUCCESS,358.1607912887338,180.0,535.3596302205297,260.0,34.17064031755858,70.0,148.9901935061863,168.0,8.43,0.0,MEDIUM,UNKNOWN,0
INCONEL* 600,871.0,wrought,ML_ONLY,SUCCESS,249.8395701777435,75.0,303.7159784859287,140.0,34.89028308135046,80.0,138.8545406077252,157.0,8.43,0.0,MEDIUM,UNKNOWN,0
INCONEL* 600,982.0,wrought,ML_ONLY,SUCCESS,167.38206537191087,41.0,215.62175745779285,76.0,35.26540184264506,115.0,129.2112465524009,145.0,8.43,0.0,MEDIUM,UNKNOWN,0
TD NiCr,21.0,wrought,ML_ONLY,SUCCESS,420.8919222339249,615.0,780.6857549622143,945.0,34.33659627942964,20.0,182.21766107777526,,8.49,0.0,MEDIUM,UNKNOWN,0
TD NiCr,538.0,wrought,ML_ONLY,SUCCESS,355.81028011988406,450.0,709.006095889601,685.0,33.91092947034761,14.5,160.525813248388,,8.49,0.0,MEDIUM,UNKNOWN,0
TD NiCr,649.0,wrought,ML_ONLY,SUCCESS,348.7334627194644,365.0,651.212970721318,435.0,33.77257342421967,11.0,154.32413496849048,,8.49,0.0,MEDIUM,UNKNOWN,0
TD NiCr,760.0,wrought,ML_ONLY,SUCCESS,332.0841065471668,260.0,528.6242515992843,270.0,35.21507705282731,5.0,148.27279883801543,,8.49,0.0,MEDIUM,UNKNOWN,0
TD NiCr,871.0,wrought,ML_ONLY,SUCCESS,222.32368384094892,180.0,300.5538584288013,185.0,35.53771487522704,3.0,138.256577171672,,8.49,0.0,MEDIUM,UNKNOWN,0
TD NiCr,982.0,wrought,ML_ONLY,SUCCESS,156.05847918787344,130.0,208.8385195485206,140.0,36.13452611511558,2.0,128.23528825868158,,8.49,0.0,MEDIUM,UNKNOWN,0
TD NiCr,1093.0,wrought,ML_ONLY,SUCCESS,156.05847918787344,105.0,208.8385195485206,110.0,36.13452611511558,1.5,126.09912272082403,,8.49,0.0,MEDIUM,UNKNOWN,0
HASTELLOY* X,21.0,wrought,ML_ONLY,SUCCESS,380.3769386930571,360.0,772.4240653557185,785.0,49.384751902004915,43.0,203.57309981267713,197.0,8.24,0.0,MEDIUM,UNKNOWN,0
HASTELLOY* X,93.0,wrought,ML_ONLY,SUCCESS,374.2559822721587,,771.9157035393122,,49.399394617459016,,202.19779425222364,194.0,8.24,0.0,MEDIUM,UNKNOWN,0
HASTELLOY* X,204.0,wrought,ML_ONLY,SUCCESS,374.1485786880434,,767.6995948883018,,49.50183914995951,,197.65012985360443,186.0,8.24,0.0,MEDIUM,UNKNOWN,0
HASTELLOY* X,316.0,wrought,ML_ONLY,SUCCESS,370.68547493940844,,756.3426038309681,,49.53441811496732,,190.16806628847644,178.0,8.24,0.0,MEDIUM,UNKNOWN,0
HASTELLOY* X,427.0,wrought,ML_ONLY,SUCCESS,369.7621467269977,,755.7657460550213,,49.608264711574925,,184.73378054238987,170.0,8.24,0.0,MEDIUM,UNKNOWN,0
HASTELLOY* X,538.0,wrought,ML_ONLY,SUCCESS,327.87454217010406,290.0,703.6461781839275,650.0,49.6502263814968,45.0,173.79015949679444,161.0,8.24,0.0,MEDIUM,UNKNOWN,0
HASTELLOY* X,649.0,wrought,ML_ONLY,SUCCESS,318.2804311120357,275.0,654.5057204818006,570.0,50.00055796662167,37.0,166.88903323930367,154.0,8.24,0.0,MEDIUM,UNKNOWN,0
HASTELLOY* X,760.0,wrought,ML_ONLY,SUCCESS,302.98596393863573,260.0,546.0829648449089,435.0,50.734382951345225,37.0,160.59803328742353,146.0,8.24,0.0,MEDIUM,UNKNOWN,0
HASTELLOY* X,871.0,wrought,ML_ONLY,SUCCESS,221.87235389912172,180.0,308.3434950846193,255.0,51.39363632455898,50.0,148.17924953300866,137.0,8.24,0.0,MEDIUM,UNKNOWN,0
HASTELLOY* X,982.0,wrought,ML_ONLY,SUCCESS,163.23993319991376,110.0,211.97571200388182,150.0,52.14131083403697,45.0,138.45888035522555,128.0,8.24,0.0,MEDIUM,UNKNOWN,0
HASTELLOY* X,1093.0,wrought,ML_ONLY,SUCCESS,163.23993319991376,55.0,211.97571200388182,90.0,52.14131083403697,40.0,136.37985540884182,,8.24,0.0,MEDIUM,UNKNOWN,0
HAYNES* 242,21.0,wrought,ML_ONLY,SUCCESS,448.65782609931773,845.0,806.6693381441536,1290.0,44.96207160882872,46.0,172.78675206852748,228.0,8.69,0.0,MEDIUM,UNKNOWN,0
HAYNES* 242,93.0,wrought,ML_ONLY,SUCCESS,445.5520369147474,,806.3457297457161,,44.9374992363922,,171.51858441990964,225.0,8.69,0.0,MEDIUM,UNKNOWN,0
HAYNES* 242,204.0,wrought,ML_ONLY,SUCCESS,445.2796898250505,,803.8718202497264,,44.988794270770455,,167.3685574569596,219.0,8.69,0.0,MEDIUM,UNKNOWN,0
HAYNES* 242,316.0,wrought,ML_ONLY,SUCCESS,443.0564967811773,,795.6612205560735,,45.067379500736855,,164.3100092933089,212.0,8.69,0.0,MEDIUM,UNKNOWN,0
HAYNES* 242,427.0,wrought,ML_ONLY,SUCCESS,442.85836456410664,,794.2360553853505,,45.067379500736855,,161.09088148266125,205.0,8.69,0.0,MEDIUM,UNKNOWN,0
HAYNES* 242,538.0,wrought,ML_ONLY,SUCCESS,419.6604699773782,540.0,752.344575893163,1080.0,44.92373326050247,50.0,150.27902921190912,197.0,8.69,0.0,MEDIUM,UNKNOWN,0
HAYNES* 242,649.0,wrought,ML_ONLY,SUCCESS,417.99569722590684,570.0,707.3639299163015,1000.0,45.12952011352098,41.0,146.4191292880707,190.0,8.69,0.0,MEDIUM,UNKNOWN,0
HAYNES* 242,760.0,wrought,ML_ONLY,SUCCESS,391.97250610813774,310.0,590.9963929506221,730.0,45.89592261569386,54.0,141.24041141635036,177.0,8.69,0.0,MEDIUM,UNKNOWN,0
HAYNES* 242,871.0,wrought,ML_ONLY,SUCCESS,299.7316510645451,310.0,355.19487505128654,500.0,45.93226799953271,85.0,133.35649618247425,166.0,8.69,0.0,MEDIUM,UNKNOWN,0
HAYNES* 242,982.0,wrought,ML_ONLY,SUCCESS,209.12106493421,210.0,247.71889774884937,290.0,46.507440931141446,97.0,126.07555512797876,154.0,8.69,0.0,MEDIUM,UNKNOWN,0
Alloy 718 (AMS 5596 sheet),20.0,wrought,ML_ONLY,SUCCESS,960.669134101839,860.0,1195.3085567365592,1100.0,19.32589669022497,30.0,197.74848502974808,,8.18,23.0,MEDIUM,UNKNOWN,0
